sale_id,user_id,sale_datetime,revenue,is_financed,apr,has_trade_in,delivery_distance
40,249,2023-07-16 00:00:00,53909.65,0,,1,134
41,239,2023-03-03 00:00:00,28608.88,1,0.0572,1,490
42,9,2023-10-24 00:00:00,37747.89,1,0.0403,1,450
43,457,2023-06-25 00:00:00,34878.59,0,0.1305,1,185
44,180,2023-08-03 00:00:00,31371.43,1,0.1032,0,464
45,298,2023-05-17 00:00:00,29124.4,0,,0,341
46,411,2023-03-04 00:00:00,55028.37,1,,0,86
47,162,2023-08-27 00:00:00,44522.48,1,0.1322,0,253
48,279,2023-09-15 00:00:00,50987.31,1,0.0899,0,228
49,31,2023-09-17 00:00:00,37956.68,0,0.0939,0,314
50,90,2023-06-12 00:00:00,58660.59,1,0.1128,1,195
51,256,2023-05-31 00:00:00,23337.17,1,0.094,1,230
52,40,2023-08-27 00:00:00,27856.84,0,0.1015,1,189
53,426,2023-02-06 00:00:00,31854.67,0,0.1383,1,181
54,254,2023-10-13 00:00:00,30194.22,1,0.0643,1,217
55,146,2023-10-08 00:00:00,38487.89,0,,0,49
56,487,2023-06-07 00:00:00,42012.67,0,0.1225,1,424
57,227,2023-10-31 00:00:00,28227.71,1,0.0444,1,332
58,163,2023-10-22 00:00:00,56603.51,0,0.0915,0,160
59,42,2023-08-08 00:00:00,21952.15,1,0.0964,1,363
60,358,2023-02-13 00:00:00,49625.2,0,0.0923,0,473
61,286,2023-05-05 00:00:00,24200.18,0,0.0649,0,205
62,378,2023-07-30 00:00:00,37943.43,0,,1,184
63,433,2023-06-17 00:00:00,52763.12,0,0.1229,1,269
64,119,2023-10-29 00:00:00,35955.71,0,,0,396
65,469,2023-04-13 00:00:00,56506.54,1,0.1282,1,375
66,75,2023-06-19 00:00:00,40580.92,0,0.0661,0,217
67,194,2023-03-28 00:00:00,32429.51,1,0.1224,0,314
68,120,2023-08-19 00:00:00,49885.98,0,0.0722,0,119
69,260,2023-04-04 00:00:00,16867.46,0,,0,10
70,201,2023-06-27 00:00:00,23653.95,1,0.1442,0,248
71,200,2023-04-09 00:00:00,30768.6,0,,1,273
72,190,2023-03-30 00:00:00,47222.25,0,0.0879,0,190
73,384,2023-10-10 00:00:00,30298.73,1,0.1334,1,214
74,8,2023-05-08 00:00:00,57096.8,1,0.0898,1,496
75,131,2023-06-17 00:00:00,25799.52,1,0.0566,1,241
76,136,2023-02-25 00:00:00,56095.47,0,,1,122
77,172,2023-04-14 00:00:00,48802.97,1,,0,327
78,342,2023-07-02 00:00:00,51783.35,1,0.1263,0,464
79,369,2023-05-16 00:00:00,44858.56,1,0.1342,1,344
80,30,2023-06-20 00:00:00,55912.89,0,,1,133
81,171,2023-10-04 00:00:00,23577.44,1,0.1064,1,437
82,445,2023-05-27 00:00:00,20395.1,1,0.0529,0,147
83,152,2023-10-08 00:00:00,21169.03,0,0.0581,0,382
84,306,2023-04-11 00:00:00,55608.59,1,,0,456
85,15,2023-05-02 00:00:00,56919.97,1,0.0975,1,455
86,434,2023-03-12 00:00:00,32978.35,0,0.0491,0,65
87,485,2023-08-11 00:00:00,19700.45,0,,0,60
88,66,2023-09-25 00:00:00,41328.53,0,,1,6
89,173,2023-08-07 00:00:00,42762.48,0,0.0514,1,209
90,226,2023-09-08 00:00:00,59260.52,0,,1,473
91,189,2023-08-03 00:00:00,30638.35,0,,0,80
92,78,2023-11-05 00:00:00,25193.47,0,0.0552,1,186
93,416,2023-08-28 00:00:00,18439.79,0,0.0799,0,277
94,51,2023-02-17 00:00:00,40078.98,0,,0,82
95,477,2023-10-20 00:00:00,40455.97,1,0.1289,1,287
96,270,2023-10-27 00:00:00,35660.58,0,,1,10
97,86,2023-08-16 00:00:00,57018.72,0,0.1062,0,9
98,149,2023-02-20 00:00:00,26239.75,0,0.1468,0,253
99,117,2023-02-14 00:00:00,53018.8,0,0.0528,0,67
100,217,2023-09-27 00:00:00,44780.0,0,0.0655,0,420
101,281,2023-06-02 00:00:00,52513.98,1,0.0882,0,367
102,453,2023-03-22 00:00:00,19764.34,1,0.0985,1,402
103,251,2023-09-27 00:00:00,27960.24,1,,1,404
104,274,2023-08-09 00:00:00,22032.77,1,,0,198
105,382,2023-10-17 00:00:00,25412.13,1,0.0689,0,49
106,125,2023-10-22 00:00:00,17259.65,1,0.1099,0,468
107,257,2023-09-18 00:00:00,38908.23,0,0.0838,1,175
108,144,2023-07-23 00:00:00,44612.47,1,0.1329,1,112
109,465,2023-02-04 00:00:00,49565.77,1,,1,275
110,351,2023-05-07 00:00:00,27347.31,1,0.0758,0,451
111,372,2023-05-17 00:00:00,15287.06,0,0.0757,0,301
112,344,2023-09-02 00:00:00,51919.21,0,0.084,1,251
113,314,2023-10-25 00:00:00,35448.14,1,,1,80
114,155,2023-04-28 00:00:00,35684.29,1,,0,333
115,410,2023-11-06 00:00:00,17956.15,0,,0,376
116,193,2023-10-14 00:00:00,56262.39,0,,0,252
117,356,2023-02-25 00:00:00,50874.5,1,,1,98
118,459,2023-06-07 00:00:00,15746.66,1,,1,230
119,103,2023-10-24 00:00:00,25521.58,0,0.1443,0,213
120,388,2023-04-05 00:00:00,27497.36,0,0.0456,0,276
121,437,2023-09-29 00:00:00,15435.91,0,,1,148
122,340,2023-10-20 00:00:00,50172.7,0,0.0444,1,192
123,67,2023-10-04 00:00:00,39488.94,0,0.1023,1,267
124,49,2023-08-10 00:00:00,31862.49,1,,1,16
125,130,2023-06-21 00:00:00,52456.36,0,,0,380
126,223,2023-02-08 00:00:00,56867.93,1,,1,353
127,498,2023-07-25 00:00:00,54180.98,1,,1,462
128,396,2023-04-12 00:00:00,17308.22,1,0.12,0,232
129,407,2023-11-02 00:00:00,24731.27,0,0.1236,1,289
130,26,2023-06-28 00:00:00,48025.74,0,0.0849,1,150
131,282,2023-03-02 00:00:00,32635.98,0,0.0671,1,225
132,423,2023-02-22 00:00:00,30178.99,0,,0,407
133,300,2023-03-10 00:00:00,25823.92,0,0.0555,1,392
134,192,2023-03-22 00:00:00,32864.65,1,0.0989,1,446
135,64,2023-04-18 00:00:00,59666.18,1,0.0529,1,482
136,348,2023-07-09 00:00:00,44674.03,0,0.1102,0,185
137,402,2023-08-06 00:00:00,33503.57,1,0.1132,1,148
138,222,2023-02-16 00:00:00,24068.78,0,0.0707,0,379
139,449,2023-02-04 00:00:00,42143.65,0,0.0444,0,463
140,386,2023-03-19 00:00:00,24464.34,1,0.1063,1,112
141,439,2023-02-19 00:00:00,20667.98,1,,0,497
142,424,2023-08-14 00:00:00,29594.82,1,0.1438,0,148
143,191,2023-08-01 00:00:00,34307.81,1,,1,385
144,267,2023-10-24 00:00:00,46155.94,1,0.1127,1,46
145,72,2023-10-04 00:00:00,20893.82,1,,1,367
146,236,2023-03-13 00:00:00,59860.91,1,0.1422,1,77
147,143,2023-04-17 00:00:00,16252.98,1,,1,180
148,184,2023-11-03 00:00:00,36722.11,1,0.1003,1,415
149,493,2023-07-09 00:00:00,51248.67,1,,1,105
150,231,2023-07-06 00:00:00,22465.55,0,0.0476,1,361
151,228,2023-06-26 00:00:00,20736.86,1,0.0847,1,458
152,11,2023-03-08 00:00:00,59615.41,1,0.1168,1,444
153,28,2023-09-05 00:00:00,28854.89,0,0.1441,0,155
154,115,2023-06-03 00:00:00,18675.03,0,0.1097,1,235
155,293,2023-08-25 00:00:00,47795.01,1,0.1321,0,203
156,211,2023-03-18 00:00:00,21055.93,1,0.0907,1,102
157,460,2023-10-19 00:00:00,19654.54,1,0.0717,1,339
158,443,2023-03-15 00:00:00,15001.38,0,0.101,1,442
159,259,2023-08-09 00:00:00,39313.47,1,0.1306,0,205
160,294,2023-05-06 00:00:00,32099.06,0,0.0648,1,251
161,263,2023-06-09 00:00:00,29171.33,0,,0,499
162,472,2023-03-26 00:00:00,34984.66,0,,1,103
163,473,2023-02-20 00:00:00,41222.15,0,0.0924,0,341
164,333,2023-08-13 00:00:00,45262.83,1,0.1164,0,135
165,104,2023-08-07 00:00:00,20774.66,0,,1,113
166,414,2023-11-03 00:00:00,48906.24,1,0.1494,0,177
167,45,2023-07-21 00:00:00,23398.8,1,0.0738,0,441
168,307,2023-03-15 00:00:00,23831.06,1,0.0976,0,30
169,112,2023-04-18 00:00:00,39361.85,1,0.1316,0,272
170,116,2023-08-26 00:00:00,39495.52,1,,1,415
171,243,2023-02-11 00:00:00,16871.05,0,,1,434
172,160,2023-09-18 00:00:00,44382.73,1,0.1291,0,56
173,432,2023-10-21 00:00:00,43843.45,0,0.117,1,370
174,181,2023-06-20 00:00:00,31137.97,0,0.1206,1,381
175,165,2023-10-27 00:00:00,49493.73,1,0.1463,1,79
176,419,2023-02-07 00:00:00,35438.26,0,0.1006,0,283
177,429,2023-02-28 00:00:00,41087.9,0,0.0468,0,357
178,413,2023-07-14 00:00:00,22472.36,0,0.1498,1,242
179,158,2023-05-04 00:00:00,54269.48,1,0.0856,1,51
180,76,2023-07-31 00:00:00,34891.5,1,0.0901,0,494
181,87,2023-02-07 00:00:00,44194.44,1,,1,142
182,312,2023-09-18 00:00:00,54067.62,0,,0,192
183,471,2023-02-04 00:00:00,48046.46,0,0.0636,0,482
184,495,2023-07-28 00:00:00,54236.09,0,,1,471
185,454,2023-10-02 00:00:00,18567.61,0,0.0563,1,417
186,261,2023-02-16 00:00:00,40125.85,0,0.1055,0,43
187,221,2023-03-11 00:00:00,37612.09,1,,0,70
188,303,2023-05-19 00:00:00,56210.47,1,0.0705,0,257
189,229,2023-10-15 00:00:00,29539.49,1,0.0595,1,48
190,405,2023-08-19 00:00:00,51075.79,0,0.1039,0,34
191,277,2023-10-07 00:00:00,55277.94,1,0.1446,0,427
192,213,2023-10-04 00:00:00,18875.95,0,,0,194
193,462,2023-05-28 00:00:00,34793.5,1,,1,442
194,484,2023-11-01 00:00:00,41975.75,0,0.1227,1,421
195,491,2023-05-06 00:00:00,51921.94,1,,1,373
196,363,2023-05-09 00:00:00,50990.25,1,,0,138
197,350,2023-02-25 00:00:00,35042.39,0,0.1454,1,171
198,499,2023-09-12 00:00:00,24921.94,0,0.0423,1,420
199,398,2023-09-03 00:00:00,50448.4,0,0.0649,0,382
200,110,2023-10-29 00:00:00,43139.85,0,,0,270
